"antiguedad_deuda","deuda_total","mujer","edad","region_bogota","propuesta_cuotas","propuesta_descuento","estrategia_agresiva","origen_deudor","estado_civil","tiene_propiedades","producto_origen_deuda","beneficiario_subsidios","helado_favorito","mes","ingreso","con_acuerdo"
984,8466466.37460217,0,24.7137940465334,0,9,0.358644239651039,0,"Colombia","union libre",0,"otro",0,"fresa",11,3074699.44962773,0
629,89534052.3896506,1,36.7380566466824,0,9,0.562644362775609,1,"Colombia","union libre",0,"libre inversion",0,"No le gusta el helado",9,3541980.34691098,0
1081,36668671.0801441,1,34.8810501116488,0,8,0.098853776184842,0,"Colombia","union libre",0,"otro",0,"ron con pasas",9,2450906.40437531,0
762,80702085.0336878,0,33.0007928615395,0,3,0.37498438116163,0,"Colombia","soltero/a",0,"credito vehiculo",0,"otro",11,3835234.35228023,0
1020,79028084.5141271,0,33.3992914389774,0,12,0.236239184718579,1,"Colombia","casado/a",1,"credito vehiculo",0,"fresa",6,4633803.17962789,0
1341,27316795.4982491,0,43.0859060851443,0,2,0.000400904472917318,0,"Colombia","union libre",0,"otro",0,"chocolate",10,3384003.67017588,0
625,12713939.1568489,1,33.6908743192253,0,7,0.585495833074674,0,"Colombia","soltero/a",0,"otro",0,"No le gusta el helado",9,2201128.11645589,0
1090,24592661.8714817,0,50.7610782903908,1,11,0.401297346549109,0,"Colombia","casado/a",0,"otro",0,"chocolate",2,6376504.06816638,0
1274,1410324.06322192,1,18.8145774876894,0,4,0.0183773750904948,1,"Colombia","casado/a",0,"credito vehiculo",1,"otro",8,1360419.95033595,1
428,73926522.2938964,1,38.0540474661539,0,3,0.161913101328537,0,"Colombia","casado/a",0,"otro",0,"No le gusta el helado",8,2690340.05672882,0
942,16462355.5953847,0,52.9735470427825,0,1,0.352688425546512,0,"Colombia","soltero/a",0,"libre inversion",0,"No le gusta el helado",10,4957380.38587137,0
327,76018477.1887259,0,25.3461336118331,0,7,0.291633404139429,1,"Colombia","casado/a",0,"credito vehiculo",0,"fresa",7,3090898.05326711,0
493,15754054.0566668,0,28.2318241208331,0,8,0.531367475772276,1,"Colombia","soltero/a",0,"libre inversion",0,"fresa",10,3812919.77294526,1
632,68974131.6619562,1,31.6206596737186,1,4,0.109458822570741,1,"Colombia","soltero/a",1,"otro",0,"fresa",3,3978092.78012592,0
196,47137383.5866805,0,35.7796543531374,0,5,0.411677260324359,1,"Colombia","casado/a",0,"tarjeta credito",0,"No le gusta el helado",5,3997742.74666376,0
627,25196260.5287321,0,32.9711003698501,0,8,0.182171119982377,1,"Colombia","casado/a",0,"credito vehiculo",0,"chocolate",10,3570830.6001192,0
1198,31479399.3967585,1,31.0733199085552,1,10,0.289208548469469,1,"Colombia","casado/a",1,"credito vehiculo",0,"chocolate",12,3322650.87220225,0
578,63722212.804039,0,51.3738951624716,1,4,0.335067760571837,1,"Colombia","soltero/a",0,"libre inversion",0,"No le gusta el helado",12,4851611.62850227,0
744,53605795.3351876,1,36.0374659259923,1,7,0.419709838321432,1,"Colombia","casado/a",0,"otro",0,"ron con pasas",7,3332496.21481575,0
881,42721672.2518206,1,44.2824299003034,0,1,0.0536965349223465,0,"Colombia","soltero/a",1,"otro",0,"otro",1,3607806.20467273,0
757,30871155.5549875,1,18,0,11,0.515545269660652,0,"Colombia","union libre",0,"libre inversion",0,"chocolate",5,1334606.89576273,0
398,87134314.8948625,0,44.5921569332049,1,5,0.338953489344567,0,"Colombia","casado/a",0,"credito vehiculo",0,"No le gusta el helado",4,5902405.77778214,0
1148,58444511.8401898,0,46.1520010966159,0,7,0.271137822512537,0,"Colombia","union libre",1,"tarjeta credito",0,"otro",4,4273745.28127067,0
962,18390434.1781978,0,30.8978322289472,0,1,0.176157690212131,1,"Colombia","casado/a",1,"otro",0,"ron con pasas",5,4478559.27194317,0
1109,32724772.3170323,1,33.0886985284425,0,6,0.331829969538376,1,"Colombia","union libre",0,"credito vehiculo",0,"fresa",9,1728065.05995324,0
306,46609911.1176794,1,49.1760051424746,1,11,0.398315109824762,1,"Colombia","union libre",1,"tarjeta credito",0,"chocolate",12,4620334.93328317,0
1027,79575009.5801661,0,35.3503575246912,0,4,0.593589286878705,0,"Colombia","soltero/a",0,"tarjeta credito",0,"fresa",10,3779666.21313097,0
661,14502680.0656691,1,43.8244861871868,0,5,0.0654281476512551,0,"Venzuela","union libre",0,"libre inversion",0,"otro",5,3733844.54587716,0
1141,21434128.3321381,1,39.9949649334091,0,3,0.574146671919152,0,"Colombia","casado/a",0,"otro",0,"ron con pasas",10,2390499.21393468,0
937,15422282.3385615,1,33.6544535942621,0,2,0.519469719473273,1,"Colombia","soltero/a",0,"libre inversion",0,"ron con pasas",6,3364830.64676626,0
1096,55638305.1409386,1,32.5172739734216,0,1,0.238680715207011,1,"Colombia","soltero/a",0,"tarjeta credito",0,"No le gusta el helado",6,2213359.32170085,0
827,45595807.1508212,1,22.9308588116167,0,4,0.312704147072509,0,"Colombia","union libre",0,"libre inversion",0,"chocolate",3,2098810.68326312,0
800,17661392.926611,1,18,0,7,0.514152621757239,0,"Colombia","casado/a",0,"otro",0,"fresa",12,1807401.33725155,0
1104,37227393.366443,0,34.8087491083279,0,7,0.000409276457503438,0,"Colombia","casado/a",0,"libre inversion",0,"fresa",7,3648641.98986429,0
207,52790774.9784412,1,37.293053105812,0,3,0.106517195608467,0,"Colombia","soltero/a",0,"tarjeta credito",0,"fresa",7,3174154.38586399,0
738,28425579.6923535,1,30.7247601082361,1,8,0.102039617020637,0,"Colombia","union libre",1,"otro",0,"otro",10,3338681.18843648,0
1037,43754038.5385277,1,40.3618628181256,0,11,0.34665064914152,1,"Colombia","union libre",0,"tarjeta credito",0,"ron con pasas",4,2961235.90451643,0
990,84600075.9947346,1,39.0338042715407,0,12,0.25123530565761,1,"Colombia","casado/a",0,"tarjeta credito",0,"No le gusta el helado",4,2802891.55455692,0
739,5002212.84858417,1,32.1043979766003,0,9,0.38011697656475,0,"Venzuela","union libre",0,"tarjeta credito",0,"chocolate",4,1958356.81512168,0
1188,48556180.1174423,0,35.4216132559382,0,8,0.382651871116832,1,"Colombia","soltero/a",0,"credito vehiculo",0,"No le gusta el helado",5,3738880.60503704,0
693,40341075.6987752,1,46.0097371223108,0,12,0.524005877086893,0,"Colombia","casado/a",0,"otro",0,"No le gusta el helado",9,3659029.32662589,0
466,81657163.3381303,0,37.6743057421456,0,8,0.433359982073307,1,"Colombia","union libre",0,"otro",0,"No le gusta el helado",8,4072965.27097814,0
263,79400876.2137964,1,41.8133662814698,1,4,0.551778619224206,1,"Colombia","soltero/a",1,"otro",0,"fresa",7,4531274.29594272,0
296,15444783.4650055,0,39.1315006179759,1,12,0.565354259032756,1,"Colombia","soltero/a",1,"otro",0,"fresa",9,5804306.53600527,1
550,67920197.2231502,0,49.667268981532,0,8,0.38769261050038,1,"Colombia","soltero/a",0,"libre inversion",0,"fresa",9,4503920.19039821,0
787,36806159.7127933,1,35.8706793163818,0,3,0.159051232086495,0,"Colombia","union libre",0,"credito vehiculo",0,"No le gusta el helado",1,2621964.72156053,0
955,50524484.9908166,0,26.5863848630156,1,10,0.578925714315846,0,"Colombia","casado/a",0,"tarjeta credito",1,"ron con pasas",10,4659341.32100589,0
656,8043083.01927522,1,31.0862497235095,0,7,0.484408794203773,0,"Colombia","soltero/a",1,"credito vehiculo",1,"otro",10,1674205.67754622,0
1248,11286261.5807913,1,37.0201226817585,0,4,0.384277305426076,0,"Colombia","soltero/a",0,"otro",0,"No le gusta el helado",2,1976658.21193305,0
524,83334657.2058974,0,32.7101232545473,1,9,0.0413132283836603,1,"Colombia","casado/a",0,"credito vehiculo",0,"chocolate",4,5963045.17360224,0
717,79205021.844618,1,33.5587904079186,0,7,0.473374259518459,1,"Colombia","union libre",0,"tarjeta credito",0,"chocolate",3,2020204.93344695,0
569,15441799.5569296,1,40.6513862727662,0,8,0.206548280781135,1,"Colombia","union libre",0,"credito vehiculo",0,"ron con pasas",10,2930208.10348136,1
942,48262343.6096124,1,28.4078172207546,0,5,0.391152279870585,0,"Colombia","casado/a",1,"otro",0,"fresa",6,2357772.77772013,0
482,83744482.197077,1,18.6862803862514,0,11,0.156779029592872,1,"Colombia","soltero/a",0,"otro",0,"ron con pasas",12,1389714.16878042,0
740,29921295.0443616,1,52.1643265868837,0,11,0.530750037822872,0,"Colombia","union libre",0,"tarjeta credito",0,"fresa",6,2980272.0667736,0
1077,15226801.6113667,0,38.6992893763866,0,2,0.35139511548914,1,"Colombia","union libre",0,"credito vehiculo",0,"fresa",10,4715673.52784709,0
279,85518975.482136,1,43.9264350733162,1,3,0.598383547179401,1,"Colombia","soltero/a",0,"credito vehiculo",1,"fresa",1,4604971.25032673,0
1204,42096013.0341584,0,32.3470238544716,0,9,0.0621777792926878,1,"Colombia","casado/a",0,"libre inversion",0,"No le gusta el helado",8,3796057.47176151,0
577,20570686.0612845,0,35.7957497470886,0,7,0.50250501637347,0,"Colombia","union libre",0,"tarjeta credito",0,"chocolate",12,3710129.07058319,0
1162,1079913.62507455,1,18,0,12,0.585955452919006,0,"Colombia","soltero/a",0,"tarjeta credito",0,"ron con pasas",1,1576508.07403694,0
586,56070060.9519845,0,38.0429411037251,0,3,0.156133964192122,1,"Colombia","soltero/a",0,"tarjeta credito",0,"fresa",10,4902531.55292123,0
571,36763277.6618935,0,38.9768508963005,1,3,0.502215082850307,1,"Colombia","union libre",0,"credito vehiculo",0,"No le gusta el helado",10,6130099.89363753,0
737,81092905.6073539,1,27.2931449035511,0,12,0.0912360530812293,1,"Colombia","union libre",0,"credito vehiculo",0,"No le gusta el helado",3,1796239.4391102,0
1224,45974084.8176414,1,30.5005257180226,0,1,0.227694049431011,0,"Colombia","casado/a",0,"tarjeta credito",0,"otro",1,2278854.42662783,0
1191,65629998.9199731,1,46.4204020932687,0,6,0.40508900815621,1,"Colombia","union libre",0,"credito vehiculo",0,"ron con pasas",9,2297688.3319883,0
636,3349057.38607049,0,38.9901894812996,1,2,0.0567383574787527,0,"Colombia","soltero/a",0,"libre inversion",0,"ron con pasas",11,5754762.82570013,0
1089,34705717.288563,1,32.8486067541214,1,1,0.210969686787575,1,"Colombia","casado/a",0,"credito vehiculo",0,"otro",7,3700914.89459401,0
1304,35358949.4009502,1,38.1373815802916,1,6,0.109288543788716,1,"Colombia","union libre",0,"libre inversion",0,"otro",3,4881939.93349518,0
689,30999826.6226845,1,23.5529888811684,0,9,0.0387371538206935,1,"Colombia","union libre",0,"tarjeta credito",1,"chocolate",10,2212922.70296074,0
1014,33370877.9517794,0,44.9614511177751,1,7,0.277845680667087,0,"Colombia","union libre",0,"tarjeta credito",0,"No le gusta el helado",10,5987060.63536055,0
648,57813156.9005549,1,18.7757410681265,1,11,0.214510080032051,1,"Colombia","union libre",0,"otro",0,"No le gusta el helado",11,2928243.64091926,0
561,3832666.57646745,1,26.4626781096961,0,5,0.00369094437919557,1,"Colombia","soltero/a",0,"tarjeta credito",0,"ron con pasas",6,2888704.6764784,1
1066,62930759.628606,1,40.7518438661024,0,9,0.464486810099334,1,"Colombia","soltero/a",0,"credito vehiculo",0,"chocolate",3,2819170.68892895,0
417,73566767.9631617,1,44.7947348258447,0,10,0.168009895971045,0,"Colombia","soltero/a",0,"otro",1,"fresa",4,2282284.36297405,0
1012,46111376.246321,0,20.2715407007119,1,9,0.322001637378708,0,"Colombia","soltero/a",0,"libre inversion",0,"chocolate",7,4633273.17035931,0
322,10932002.9674564,1,40.1111252809815,1,1,0.521291543589905,0,"Colombia","union libre",0,"otro",0,"ron con pasas",10,4581671.44499027,0
467,81653406.1315935,1,37.9040276696333,0,6,0.480986719066277,0,"Colombia","union libre",0,"tarjeta credito",0,"No le gusta el helado",6,2619435.77947791,0
348,37728500.7268656,0,34.7001114229414,1,4,0.526808533072472,1,"Colombia","union libre",0,"otro",0,"ron con pasas",5,5748571.14295762,0
460,43111640.6952264,0,29.6775973317363,0,2,0.332683616364375,0,"Colombia","soltero/a",0,"otro",0,"otro",11,3237587.66543216,0
249,64491933.4423263,1,27.7242447171583,1,12,0.247157601546496,0,"Colombia","union libre",0,"credito vehiculo",0,"ron con pasas",11,4494769.49950231,0
931,22450724.856765,1,36.2901116567772,0,6,0.181589466473088,1,"Colombia","casado/a",1,"credito vehiculo",0,"otro",1,3225457.29265693,0
1205,27597979.917191,0,45.2541678976921,0,8,0.364269446209073,1,"Colombia","soltero/a",0,"otro",0,"ron con pasas",10,3827467.19698532,0
1091,63669062.9942575,0,22.3470879927773,1,7,0.523062874563038,0,"otros","union libre",0,"otro",0,"otro",4,3905407.23189564,0
1113,69656237.8708972,0,26.0718199539155,0,9,0.108805307652801,1,"Colombia","soltero/a",0,"libre inversion",0,"No le gusta el helado",1,2945789.77673861,0
713,2133174.34242927,1,48.921929993723,0,2,0.0183177314233035,1,"Colombia","casado/a",0,"otro",0,"ron con pasas",2,2961255.07752173,1
660,50022073.254548,0,24.7376594597721,0,3,0.137586009129882,1,"Colombia","casado/a",0,"credito vehiculo",0,"chocolate",10,2958678.31495603,0
1129,59034292.0713359,1,18,0,1,0.589444706914946,0,"Colombia","union libre",0,"libre inversion",0,"ron con pasas",7,1643155.67757409,0
888,83910969.0863639,0,35.1484377622837,0,7,0.200860469229519,1,"Colombia","casado/a",0,"credito vehiculo",0,"chocolate",10,4273886.20434841,0
946,62413900.92785,1,37.9256492326302,1,1,0.145208232477307,0,"Colombia","union libre",0,"libre inversion",0,"chocolate",10,5197715.66697103,0
593,23510652.088956,1,35.1081186173231,1,4,0.464146878384054,1,"Colombia","union libre",1,"tarjeta credito",0,"fresa",9,4608942.16997479,0
496,37523518.7763115,1,27.5756738678938,0,8,0.228849746380001,1,"Colombia","union libre",0,"credito vehiculo",0,"No le gusta el helado",10,2300309.40883376,0
1341,11849598.1827378,1,37.9138024169004,0,8,0.445162208285183,1,"Colombia","casado/a",0,"credito vehiculo",0,"otro",3,1950889.54298114,0
921,12658220.1150013,0,33.4922040885989,1,5,0.433777523646131,0,"Colombia","casado/a",0,"libre inversion",0,"No le gusta el helado",12,5011144.99559213,0
429,57934514.5347761,0,42.8321826640202,0,1,0.196181971672922,1,"Colombia","union libre",1,"otro",0,"otro",5,4913560.66219759,0
331,31766327.8117776,0,37.5580274187811,1,6,0.000551103986799717,0,"Colombia","casado/a",0,"tarjeta credito",0,"otro",12,5866971.38524747,0
739,38567613.4714158,1,40.8937873980333,0,1,0.513176806876436,0,"Colombia","union libre",1,"tarjeta credito",0,"ron con pasas",6,3259566.30155434,0
1261,84601331.2459225,1,37.7665112033696,0,11,0.151441859733313,1,"Colombia","soltero/a",0,"otro",0,"No le gusta el helado",4,2292695.15879676,0
881,35104530.4731466,0,38.4684336931954,0,4,0.00210973075591028,1,"Colombia","soltero/a",0,"credito vehiculo",0,"ron con pasas",11,4089834.01858202,0
1322,21266935.1721648,0,41.4586591750736,0,12,0.22624080539681,0,"Colombia","casado/a",0,"credito vehiculo",0,"ron con pasas",12,4631485.9276707,0
1036,62403830.9123134,1,18,0,8,0.223064246680588,0,"Colombia","union libre",1,"otro",0,"chocolate",10,1208953.0496406,0
597,1778340.44366609,1,39.4016252235019,0,12,0.0108142931945622,0,"Colombia","soltero/a",0,"tarjeta credito",0,"ron con pasas",6,3225826.33657222,1
685,62034262.6864091,1,23.5484918045683,0,3,0.543916334398091,0,"Colombia","union libre",0,"libre inversion",0,"ron con pasas",7,1084609.30103511,0
353,71438206.5057987,1,38.0868588003808,0,1,0.378534179180861,0,"Colombia","soltero/a",0,"otro",0,"otro",1,2416252.98990393,0
195,46117669.845256,1,46.1753967995953,0,11,0.564266378665343,1,"Colombia","union libre",0,"tarjeta credito",0,"No le gusta el helado",2,3348090.05608881,0
1017,28349593.7832166,1,31.1893997572837,0,4,0.126368228858337,1,"Colombia","soltero/a",0,"credito vehiculo",0,"fresa",8,3075858.86464372,0
301,66585613.9030075,1,28.1306020197964,0,8,0.483168672490865,1,"Colombia","soltero/a",0,"otro",0,"chocolate",12,2728622.71970397,0
702,28050128.1870296,0,34.2667177581636,0,4,0.345657172892243,1,"Colombia","union libre",0,"otro",1,"ron con pasas",11,4013788.60399174,0
929,69926545.3271102,0,48.4761063164271,0,2,0.33390842936933,0,"Colombia","soltero/a",1,"libre inversion",0,"chocolate",3,4510135.49522065,0
1340,10889325.1324072,1,35.8589883095868,0,10,0.15225107758306,0,"Colombia","soltero/a",0,"credito vehiculo",0,"fresa",10,3484122.78147247,0
760,71978963.6681322,0,36.2644787990502,0,11,0.348110177228227,0,"Colombia","union libre",0,"tarjeta credito",0,"No le gusta el helado",11,4238712.78195002,0
747,44648204.0095143,0,30.3553053207757,0,3,0.489751544874161,0,"Colombia","soltero/a",0,"otro",0,"fresa",2,4689510.34606859,0
383,75113009.3744723,0,30.514757508255,1,3,0.185069290967658,1,"Colombia","union libre",0,"otro",0,"No le gusta el helado",3,5681476.25887775,0
1063,68475503.1052278,0,33.8110917443176,0,7,0.370346744684502,0,"Colombia","union libre",0,"credito vehiculo",0,"otro",2,3714809.06221622,0
711,81281258.5707055,1,21.4900029771763,1,10,0.0749577060341835,0,"Colombia","union libre",0,"tarjeta credito",0,"chocolate",4,3662150.04010078,0
778,25709005.1638428,0,45.4898854083452,0,11,0.366881634900346,1,"Colombia","casado/a",0,"credito vehiculo",0,"ron con pasas",12,4499762.57006225,1
423,40611232.9181749,0,32.1486337891771,1,9,0.162846491904929,1,"Colombia","casado/a",0,"tarjeta credito",1,"ron con pasas",11,5577689.29713951,0
448,25136602.0544199,1,18,0,11,0.117637108359486,0,"Colombia","soltero/a",1,"libre inversion",0,"No le gusta el helado",6,2056383.27419911,0
877,30295722.8150452,1,34.8516035767239,0,5,0.264921870315447,1,"Colombia","casado/a",0,"tarjeta credito",0,"chocolate",3,2533126.66725883,0
853,77846818.2561686,1,32.9517813853293,0,5,0.422838323330507,0,"Colombia","union libre",0,"credito vehiculo",1,"chocolate",11,2962151.41265112,0
270,10688343.6467266,1,19.7680901091585,0,12,0.0453153391834348,1,"Colombia","casado/a",0,"libre inversion",0,"fresa",3,1014286.3415394,0
222,36741089.7673806,0,52.4223778454296,0,6,0.110484435595572,0,"Colombia","union libre",0,"credito vehiculo",0,"ron con pasas",6,3978823.69188977,0
932,37081290.8453168,1,25.5036503021575,0,10,0.242361560929567,1,"Colombia","casado/a",1,"credito vehiculo",0,"ron con pasas",1,1793623.37587469,0
1266,39790301.6078984,0,23.4948288690501,1,1,0.463981197075918,0,"Colombia","casado/a",1,"libre inversion",0,"otro",8,4581655.44996371,0
880,16670708.580385,0,38.8360696437628,0,6,0.58719191942364,1,"Colombia","union libre",0,"otro",0,"fresa",10,3655141.23685013,1
836,24576560.8291375,1,43.7824331112292,0,6,0.130623903265223,0,"Colombia","union libre",0,"libre inversion",0,"No le gusta el helado",9,2712739.30826207,0
795,59665906.201629,0,33.334971591532,1,4,0.092603750852868,0,"Colombia","soltero/a",0,"credito vehiculo",0,"fresa",2,5375806.19576104,0
1333,73610545.4810662,1,36.9321382876363,0,6,0.209142382442951,1,"Colombia","casado/a",1,"credito vehiculo",0,"fresa",5,3035889.63052632,0
774,38427525.1112413,0,25.6313021251063,0,3,0.0570733475033194,1,"Colombia","casado/a",0,"otro",0,"fresa",7,3097080.73602579,0
979,15161729.5084521,0,43.1198576326015,0,1,0.382403064798564,1,"otros","soltero/a",0,"libre inversion",0,"chocolate",7,4370938.34205183,0
884,26615162.3414364,0,37.6590587902563,1,12,0.161279097944498,1,"Colombia","casado/a",0,"libre inversion",0,"otro",3,5786395.96225512,1
459,72369694.6432348,0,35.8585485621926,0,6,0.168356309691444,0,"Colombia","soltero/a",0,"tarjeta credito",0,"No le gusta el helado",7,4227772.40759456,0
482,15534290.2516946,0,41.358981021467,0,11,0.508308732602745,0,"Colombia","soltero/a",1,"credito vehiculo",0,"No le gusta el helado",1,4216749.82352499,0
1033,71270532.7000469,0,43.4911676057457,0,7,0.502986179105937,0,"Colombia","casado/a",1,"tarjeta credito",0,"No le gusta el helado",9,5017760.41595975,0
710,47607553.8223609,1,28.7736198733882,0,7,0.121495835250244,1,"Colombia","soltero/a",0,"tarjeta credito",0,"ron con pasas",7,1617898.10839221,0
385,29415118.7370066,0,39.0876095409417,0,9,0.0486848504282534,0,"Colombia","casado/a",0,"libre inversion",0,"ron con pasas",1,3828857.32728785,0
1054,25418278.5290061,1,26.5896723798125,0,5,0.555215825792402,1,"Colombia","soltero/a",0,"credito vehiculo",0,"ron con pasas",8,1795477.80983115,0
303,72349115.2078612,0,53.9512519109389,0,8,0.131919164769351,0,"Colombia","soltero/a",0,"otro",0,"No le gusta el helado",5,4573817.85179251,0
1192,10168576.8201482,0,38.8822610965054,0,10,0.0613088835496455,0,"Colombia","casado/a",0,"tarjeta credito",0,"chocolate",9,3618145.29237366,0
899,75576693.9520603,0,34.6955687295304,0,4,0.369840420456603,0,"Colombia","casado/a",0,"tarjeta credito",0,"chocolate",12,3362324.07791421,0
832,7962322.03985564,1,30.831236995432,0,5,0.22598591116257,1,"Colombia","union libre",0,"otro",0,"fresa",8,2335760.32741537,0
565,64834958.3790405,0,33.1251838049631,0,1,0.363128166552633,1,"Colombia","soltero/a",0,"libre inversion",0,"fresa",8,2974221.58428322,0
710,77937448.3545078,1,25.6397204333276,1,7,0.161725391400978,0,"Colombia","casado/a",0,"credito vehiculo",0,"No le gusta el helado",6,4047171.06361854,0
766,88089536.3412565,0,35.5394990065349,0,8,0.421828641928732,1,"Colombia","soltero/a",0,"tarjeta credito",0,"chocolate",11,3980093.98508692,0
392,23097145.092627,1,39.9599704312407,1,10,0.171749371709302,1,"Colombia","casado/a",0,"otro",0,"otro",5,3917623.69052075,0
800,3115087.50999346,1,30.6364498073445,1,11,0.28684542174451,0,"Colombia","union libre",0,"credito vehiculo",0,"ron con pasas",8,3617984.03001826,1
268,20767360.4678828,0,28.0933069636155,1,10,0.171643133461475,0,"Colombia","union libre",0,"tarjeta credito",0,"ron con pasas",5,5083512.22491665,0
505,11772472.013114,1,21.1507808031262,0,10,0.186868309602141,0,"Colombia","casado/a",0,"tarjeta credito",0,"chocolate",5,2107920.71710095,0
429,35224832.7570269,0,39.8356985053501,1,10,0.000639507360756397,0,"Colombia","casado/a",0,"otro",0,"otro",6,5481896.96048856,0
513,8413845.27725168,0,37.8371581069921,1,9,0.402666058391333,1,"Venzuela","union libre",0,"otro",0,"No le gusta el helado",11,5517617.5509689,1
1227,26078047.2704675,1,33.203758245364,0,10,0.0566068216692656,1,"Colombia","soltero/a",0,"tarjeta credito",0,"fresa",9,1743256.51899517,0
702,51382497.0783899,1,30.3156675916065,0,6,0.220288650132716,1,"Colombia","casado/a",0,"otro",0,"fresa",12,1888551.31498449,0
1093,30173119.1405095,1,37.1960695959996,0,6,0.45048889615573,1,"Colombia","union libre",0,"credito vehiculo",0,"otro",2,3343080.98639837,0
1210,84963594.2327091,0,23.3107112055065,1,8,0.449472395237535,1,"Colombia","casado/a",0,"credito vehiculo",0,"No le gusta el helado",2,4231916.89501735,0
663,34517743.0912619,1,22.4815897326271,0,1,0.5670616265852,1,"Venzuela","union libre",0,"credito vehiculo",0,"otro",4,1846917.10314497,0
255,85840421.0643377,1,22.7157177808101,0,11,0.00471118823625147,0,"Colombia","soltero/a",1,"libre inversion",0,"otro",1,1251015.95792125,0
573,25246830.5056449,1,31.9290483907201,0,3,0.0982757822144776,0,"Colombia","soltero/a",0,"otro",0,"otro",2,2779140.29626995,0
1027,62141116.9084255,1,41.7210347002104,0,4,0.180548566533253,0,"Colombia","casado/a",0,"credito vehiculo",0,"No le gusta el helado",3,3000774.81839275,0
575,13105969.7778895,0,41.0745916937539,1,12,0.200015296787024,1,"Colombia","casado/a",0,"libre inversion",0,"chocolate",3,5268867.92604833,1
918,73089779.7518643,1,30.1961951029669,0,12,0.0135458808392286,1,"Colombia","casado/a",0,"otro",0,"otro",12,2720181.14097162,0
1164,68848078.0589394,1,47.0531215791475,1,11,0.0314346539787948,0,"Colombia","soltero/a",0,"tarjeta credito",1,"fresa",4,4724315.079283,0
1182,40318270.6964901,0,25.261067361585,1,3,0.150898016290739,0,"Colombia","soltero/a",0,"otro",0,"ron con pasas",2,4765908.71120291,0
638,41589804.3850204,1,30.8110485049048,0,8,0.155251603061333,0,"Colombia","soltero/a",0,"otro",0,"chocolate",6,3111722.22977198,0
625,61528548.4163789,1,28.7690556739241,0,3,0.275328800501302,0,"Colombia","casado/a",0,"credito vehiculo",0,"ron con pasas",1,2546141.88911306,0
1228,7528853.6909502,0,36.3534726830135,0,5,0.384571439260617,1,"Colombia","soltero/a",0,"otro",0,"ron con pasas",8,3803835.09949892,1
934,58514650.5873185,0,20.1148598466344,0,7,0.228223307104781,0,"Colombia","soltero/a",0,"tarjeta credito",0,"chocolate",5,2669433.74943777,0
1047,71281347.3441638,0,45.0710623699458,1,8,0.129323114035651,0,"Colombia","soltero/a",0,"otro",0,"ron con pasas",8,6288053.30799794,0
888,20797500.7483503,1,45.2597686086765,0,11,0.230096114007756,1,"Colombia","union libre",0,"credito vehiculo",0,"chocolate",3,2334508.21549213,0
1237,4548109.55012217,0,43.3100192755093,1,5,0.362561827059835,1,"Colombia","casado/a",1,"tarjeta credito",0,"ron con pasas",12,5609961.54602874,1
524,35172169.1734856,0,34.3030701756328,0,12,0.185424748342484,0,"Colombia","union libre",0,"otro",0,"ron con pasas",1,4131622.30799475,0
404,31558610.9164171,1,44.8282390920821,1,11,0.272681384347379,1,"Colombia","union libre",1,"libre inversion",0,"otro",2,4462698.31497811,0
1217,40671450.475906,1,39.1377688623964,0,10,0.189781940728426,1,"Colombia","soltero/a",0,"libre inversion",0,"No le gusta el helado",9,2063590.42675876,0
